SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BZ002,BBTN01CN2,OBL BERKELANJUTAN I BANK BTN TAHAP II TAHUN 2013,93.908562,93.908600,95.508562,92.308562,
IBPA,20180813,BZ002,BBTN02BCN1,OBL BKLJT II BANK BTN TAHAP I TAHUN 2015 SERI B,102.432904,102.432900,103.732904,101.132904,
IBPA,20180813,BZ002,BBTN02BCN2,OBL BKLJT II BANK BTN TAHAP II TAHUN 2016 SERI B,99.106021,99.106000,100.706021,97.506021,
IBPA,20180813,BZ002,BBTN14,OBLIGASI XIV BANK BTN TAHUN 2010,103.435835,103.435800,104.735835,102.135835,
IBPA,20180813,BZ002,BCAF02BCN2,OBL BKLJT II BCA FINANCE TAHAP II TAHUN 2016 SR B,100.585788,100.585800,101.585788,99.585788,
IBPA,20180813,BZ002,BEXI01CCN1,OBL BKLJT INDONESIA EXIMBANK I THP I TH2011 SERI C,100.587511,100.587500,101.587511,99.587511,
IBPA,20180813,BZ002,BEXI02BCN6,OBL BKLJT INDONESIA EXIMBANK II THP VI TH2015 SR B,100.252314,100.252300,101.252314,99.252314,
IBPA,20180813,BZ002,BEXI02BCN7,OBL BKLJ INDONESIA EXIMBANK II THP VII TH2016 SR B,101.118660,101.118700,102.118660,100.118660,
IBPA,20180813,BZ002,BEXI02CCN3,OBL BKLJ INDONESIA EXIMBANK II THP III TH2014 SR C,102.216427,102.216400,103.516427,100.916427,
IBPA,20180813,BZ002,BEXI02CCN5,OBL BKLJT INDONESIA EXIMBANK II THP V TH 2015 SR C,101.845464,101.845500,103.145464,100.545464,
IBPA,20180813,BZ002,BEXI02CCN6,OBL BKLJT INDONESIA EXIMBANK II THP VI TH2015 SR C,102.071553,102.071600,103.371553,100.771553,
IBPA,20180813,BZ002,BEXI02DCN1,OBL BKLJT INDONESIA EXIMBANK II THP I TH2014 SR D,101.843395,101.843400,102.843395,100.843395,
IBPA,20180813,BZ002,BEXI03ACN5,OBL BKLJT INDONESIA EXIMBANK III THP V TH17 SR A,98.612893,98.612900,99.912893,97.312893,
IBPA,20180813,BZ002,BEXI03BCN1,OBL BKLJT INDONESIA EXIMBANK III THP I TH16 SR B,100.161765,100.161800,101.161765,99.161765,
IBPA,20180813,BZ002,BEXI03BCN4,OBL BKLJT INDONESIA EXIMBANK III THP IV TH17 SR B,100.499248,100.499200,101.799248,99.199248,
IBPA,20180813,BZ002,BEXI03BCN5,OBL BKLJT INDONESIA EXIMBANK III THP V TH17 SR B,96.156079,96.156100,97.756079,94.556079,
IBPA,20180813,BZ002,BEXI03CCN1,OBL BKLJT INDONESIA EXIMBANK III THP I TH16 SR C,99.922619,99.922600,101.222619,98.622619,
IBPA,20180813,BZ002,BEXI03CCN2,OBL BKLJT INDONESIA EXIMBANK III THP II TH16 SR C,98.803320,98.803300,100.403320,97.203320,
IBPA,20180813,BZ002,BEXI03CCN4,OBL BKLJT INDONESIA EXIMBANK III THP IV TH17 SR C,100.222001,100.222000,101.822001,98.622001,
IBPA,20180813,BZ002,BEXI03DCN4,OBL BKLJT INDONESIA EXIMBANK III THP IV TH17 SR D,99.922874,99.922900,101.522874,98.322874,
IBPA,20180813,BZ002,BEXI03ECN4,OBL BKLJT INDONESIA EXIMBANK III THP IV TH17 SR E,99.084193,99.084200,100.684193,97.484193,
IBPA,20180813,BZ002,BEXI04ACN1,OBL BKLJT INDONESIA EXIMBANK IV THP I TH18 SR A,96.962968,96.963000,98.262968,95.662968,
